ID89,name,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop26,pop39,pop59,pop70,pop79,pop89,pop02,pop10
6, г. Петрозаводск,Petrozavodsk,Karel'skaia ASSR,Severno-Zapadny,1,1,0,27,61.79,34.38,"3818,0041","1181,9844","2124,3402",12522.0,26344.0,69723.0,136294.0,192000.0,234100.0,269485.0,266160.0,263540.0
8, г. Костомукша,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27,64.8,30.67,"4199,04","940,6489","1987,416",,24302.0,64461.0,125000.0,171000.0,4400.0,30432.0,29746.0,28993.0
10,г. Сортавала,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27,61.71,30.7,"3808,1241","942,49","1894,497",2041.0,4732.0,4577.0,17611.0,22200.0,21600.0,29708.0,27527.0,32269.0
15, г. Беломорск,Belomorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,1,64.55,34.77,"4166,7025","1208,9529","2244,4035",,6114.0,10457.0,14800.0,16600.0,18100.0,18935.0,13103.0,11217.0
21, пгт Калевала,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27,65.21,31.2,"4252,3441","973,44","2034,552",,,,,,,5150.0,5578.0,4528.0
24, г. Кемь,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1,64.96,34.57,"4219,8016","1195,0849","2245,6672",2447.0,6589.0,16624.0,18127.0,21000.0,21000.0,18522.0,14620.0,13061.0
28,г. Кондопога,Kondopoga,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27,62.21,34.26,"3870,0841","1173,7476","2131,3146",,2606.0,13374.0,16060.0,27900.0,35200.0,36365.0,34863.0,32978.0
31, г. Лахденпохья,Lakhdenpokh'ia,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27,61.52,30.19,"3784,7104","911,4361","1857,2888",,,,7800.0,7900.0,9500.0,10429.0,8751.0,7818.0
34,пгт Лоухи,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1,66.07,33.05,"4365,2449","1092,3025","2183,6135",,,,,,,6405.0,5920.0,4778.0
37,пгт Пяозерский,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1,65.77,31.08,"4325,6929","965,9664","2044,1316",,,,,,,2632.0,2603.0,2099.0
39,пгт Чупа,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1,66.28,33.06,"4393,0384","1092,9636","2191,2168",,,,,,,5214.0,4061.0,2923.0
41,г. Медвежьегорск,Medvezh'egorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27,62.91,34.44,"3957,6681","1186,1136","2166,6204",,2092.0,12108.0,15824.0,17500.0,20300.0,20373.0,17283.0,15536.0
42,пгт Пиндуши,Pindushi,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27,62.93,34.56,"3960,1849","1194,3936","2174,8608",,,,,,,6611.0,5190.0,4599.0
43,пгт Повенец,Povenets,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27,62.86,34.82,"3951,3796","1212,4324","2188,7852",1294.0,2103.0,,,,,4208.0,2608.0,2209.0
45, пгт Муезерский,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27,63.96,32,"4090,8816",1024,"2046,72",,,,,,,4400.0,4007.0,3328.0
49, г. Олонец,Olonets,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27,60.97,32.98,"3717,3409","1087,6804","2010,7906",1246.0,1701.0,3351.0,5000.0,7800.0,10400.0,11888.0,10240.0,9060.0
50,п. Ильинский,Il'inskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27,61,32.68,3721,"1067,9824","1993,48",,,,,,,3334.0,3204.0,
52,г. Питкяранта,Pitkiaranta,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27,61.57,31.48,"3790,8649","990,9904","1938,2236",,,,,10300.0,13800.0,14361.0,13347.0,11484.0